year,total_energy_requirement (MWh),Energy Fulfilment Ratio (%),Critical Load Interruptions,Estimated Loss due to Interruptions,Non-critical Load shedding events,Total Cost (M PKR),Unit Cost (PKR/kWh),SRC-1 Existing Solar PPA  energy output (MWh),SRC-1 Existing Solar PPA  year operating proportion (%),SRC-1 Existing Solar PPA  total cost of operation (M PKR),SRC-1 Existing Solar PPA  unit cost (PKR/kWh),SRC-2 Existing Solar PPA  energy output (MWh),SRC-2 Existing Solar PPA  year operating proportion (%),SRC-2 Existing Solar PPA  total cost of operation (M PKR),SRC-2 Existing Solar PPA  unit cost (PKR/kWh),SRC-3 Existing Solar PPA  energy output (MWh),SRC-3 Existing Solar PPA  year operating proportion (%),SRC-3 Existing Solar PPA  total cost of operation (M PKR),SRC-3 Existing Solar PPA  unit cost (PKR/kWh),SRC-4 Existing Solar PPA  energy output (MWh),SRC-4 Existing Solar PPA  year operating proportion (%),SRC-4 Existing Solar PPA  total cost of operation (M PKR),SRC-4 Existing Solar PPA  unit cost (PKR/kWh),SRC-5 Existing Solar PPA  energy output (MWh),SRC-5 Existing Solar PPA  year operating proportion (%),SRC-5 Existing Solar PPA  total cost of operation (M PKR),SRC-5 Existing Solar PPA  unit cost (PKR/kWh),SRC-6 Existing Solar PPA  energy output (MWh),SRC-6 Existing Solar PPA  year operating proportion (%),SRC-6 Existing Solar PPA  total cost of operation (M PKR),SRC-6 Existing Solar PPA  unit cost (PKR/kWh),SRC-7 Existing Solar PPA  energy output (MWh),SRC-7 Existing Solar PPA  year operating proportion (%),SRC-7 Existing Solar PPA  total cost of operation (M PKR),SRC-7 Existing Solar PPA  unit cost (PKR/kWh),SRC-8 Existing Solar PPA  energy output (MWh),SRC-8 Existing Solar PPA  year operating proportion (%),SRC-8 Existing Solar PPA  total cost of operation (M PKR),SRC-8 Existing Solar PPA  unit cost (PKR/kWh),SRC-9 Captive DG Sets energy output (MWh),SRC-9 Captive DG Sets year operating proportion (%),SRC-9 Captive DG Sets total cost of operation (M PKR),SRC-9 Captive DG Sets unit cost (PKR/kWh),SRC-10 Captive DG Sets energy output (MWh),SRC-10 Captive DG Sets year operating proportion (%),SRC-10 Captive DG Sets total cost of operation (M PKR),SRC-10 Captive DG Sets unit cost (PKR/kWh),SRC-11 Captive DG Sets energy output (MWh),SRC-11 Captive DG Sets year operating proportion (%),SRC-11 Captive DG Sets total cost of operation (M PKR),SRC-11 Captive DG Sets unit cost (PKR/kWh),SRC-12 PPA based on BESS energy output (MWh),SRC-12 PPA based on BESS year operating proportion (%),SRC-12 PPA based on BESS total cost of operation (M PKR),SRC-12 PPA based on BESS unit cost (PKR/kWh),SRC-13 PPA based on BESS energy output (MWh),SRC-13 PPA based on BESS year operating proportion (%),SRC-13 PPA based on BESS total cost of operation (M PKR),SRC-13 PPA based on BESS unit cost (PKR/kWh),SRC-14 PPA based on BESS energy output (MWh),SRC-14 PPA based on BESS year operating proportion (%),SRC-14 PPA based on BESS total cost of operation (M PKR),SRC-14 PPA based on BESS unit cost (PKR/kWh),SRC-15 PPA based on BESS energy output (MWh),SRC-15 PPA based on BESS year operating proportion (%),SRC-15 PPA based on BESS total cost of operation (M PKR),SRC-15 PPA based on BESS unit cost (PKR/kWh),SRC-16 PPA based on BESS energy output (MWh),SRC-16 PPA based on BESS year operating proportion (%),SRC-16 PPA based on BESS total cost of operation (M PKR),SRC-16 PPA based on BESS unit cost (PKR/kWh),SRC-17 PPA based on BESS energy output (MWh),SRC-17 PPA based on BESS year operating proportion (%),SRC-17 PPA based on BESS total cost of operation (M PKR),SRC-17 PPA based on BESS unit cost (PKR/kWh),SRC-18 PPA based on BESS energy output (MWh),SRC-18 PPA based on BESS year operating proportion (%),SRC-18 PPA based on BESS total cost of operation (M PKR),SRC-18 PPA based on BESS unit cost (PKR/kWh),SRC-19 PPA based on BESS energy output (MWh),SRC-19 PPA based on BESS year operating proportion (%),SRC-19 PPA based on BESS total cost of operation (M PKR),SRC-19 PPA based on BESS unit cost (PKR/kWh),SRC-20 PPA based on BESS energy output (MWh),SRC-20 PPA based on BESS year operating proportion (%),SRC-20 PPA based on BESS total cost of operation (M PKR),SRC-20 PPA based on BESS unit cost (PKR/kWh),SRC-21 PPA based on BESS energy output (MWh),SRC-21 PPA based on BESS year operating proportion (%),SRC-21 PPA based on BESS total cost of operation (M PKR),SRC-21 PPA based on BESS unit cost (PKR/kWh),SRC-22 PPA based on BESS energy output (MWh),SRC-22 PPA based on BESS year operating proportion (%),SRC-22 PPA based on BESS total cost of operation (M PKR),SRC-22 PPA based on BESS unit cost (PKR/kWh),SRC-23 PPA based on BESS energy output (MWh),SRC-23 PPA based on BESS year operating proportion (%),SRC-23 PPA based on BESS total cost of operation (M PKR),SRC-23 PPA based on BESS unit cost (PKR/kWh),SRC-24 PPA based on BESS energy output (MWh),SRC-24 PPA based on BESS year operating proportion (%),SRC-24 PPA based on BESS total cost of operation (M PKR),SRC-24 PPA based on BESS unit cost (PKR/kWh),SRC-25 PPA based on BESS energy output (MWh),SRC-25 PPA based on BESS year operating proportion (%),SRC-25 PPA based on BESS total cost of operation (M PKR),SRC-25 PPA based on BESS unit cost (PKR/kWh),SRC-26 PPA based on BESS energy output (MWh),SRC-26 PPA based on BESS year operating proportion (%),SRC-26 PPA based on BESS total cost of operation (M PKR),SRC-26 PPA based on BESS unit cost (PKR/kWh)
1,42233.19,100.0,0,0.0,0,8281.13,196.08,5065.85,39.08,196.0,38.69,5065.92,38.66,196.0,38.69,3574.97,32.27,196.0,54.83,1874.02,22.9,196.0,104.59,1101.58,17.2,196.0,177.93,739.14,14.01,196.0,265.17,590.73,12.55,196.0,331.79,505.13,11.61,196.0,388.02,8110.41,65.83,651.96,80.39,7968.66,63.73,640.73,80.41,7712.55,61.31,620.44,80.45,1446.01,30.76,320.0,221.3,116.16,1.24,320.0,2754.74,42.17,0.0,320.0,7587.58,42.06,0.0,320.0,7608.03,41.99,0.0,320.0,7621.14,42.17,0.0,320.0,7588.98,42.16,0.0,320.0,7589.57,42.12,0.0,320.0,7598.15,42.15,0.0,320.0,7591.42,42.14,0.0,320.0,7593.32,42.13,0.0,320.0,7595.29,42.11,0.0,320.0,7598.42,42.02,0.0,320.0,7615.1,41.86,0.0,320.0,7644.2,41.04,0.0,320.0,7798.17
2,42233.19,100.0,0,0.0,0,8736.25,206.86,5068.37,38.85,205.8,40.6,5068.87,38.8,205.8,40.6,3577.48,32.09,205.8,57.53,1882.01,22.75,205.8,109.35,1119.57,17.29,205.8,183.82,759.49,14.41,205.8,270.97,614.16,12.6,205.8,335.09,528.9,11.75,205.8,389.11,8076.6,66.03,697.47,86.36,7945.98,64.0,686.34,86.38,7707.56,61.71,666.04,86.41,1559.52,32.65,336.0,215.45,129.72,1.37,336.0,2590.22,44.09,0.0,336.0,7621.14,44.09,0.0,336.0,7621.28,44.09,0.0,336.0,7621.43,44.08,0.0,336.0,7622.1,43.85,0.0,336.0,7662.66,44.07,0.0,336.0,7623.86,44.06,0.0,336.0,7625.92,44.04,0.0,336.0,7628.58,44.04,0.0,336.0,7629.52,44.01,0.0,336.0,7635.0,43.94,0.0,336.0,7647.5,43.81,0.0,336.0,7670.32,43.24,0.0,336.0,7771.4
3,45249.85,100.0,0,0.0,0,9332.39,206.24,5138.39,38.96,216.09,42.05,5133.23,38.89,216.09,42.1,3979.58,34.01,216.09,54.3,2151.06,24.51,216.09,100.46,1353.87,19.36,216.09,159.61,1009.47,16.89,216.09,214.06,847.94,15.49,216.09,254.84,760.5,14.54,216.09,284.14,8444.32,68.2,782.94,92.72,8326.89,66.55,772.19,92.73,8155.95,64.93,756.54,92.76,2491.08,44.57,352.8,141.63,531.74,7.37,352.8,663.49,63.05,0.17,352.8,5595.31,47.7,0.0,352.8,7396.86,47.69,0.0,352.8,7397.27,47.58,0.0,352.8,7415.52,47.69,0.0,352.8,7398.1,47.69,0.0,352.8,7398.27,47.68,0.0,352.8,7399.33,47.67,0.0,352.8,7400.51,47.66,0.0,352.8,7402.8,47.62,0.0,352.8,7408.19,47.57,0.0,352.8,7416.86,47.42,0.0,352.8,7440.24,46.81,0.0,352.8,7536.4
4,45249.85,100.0,0,0.0,0,9843.98,217.55,5142.68,38.93,226.89,44.12,5142.6,38.94,226.89,44.12,3977.52,34.04,226.89,57.04,2158.46,24.44,226.89,105.12,1371.19,19.58,226.89,165.47,1035.03,17.16,226.89,219.22,875.59,15.8,226.89,259.13,786.04,14.68,226.89,288.66,8400.33,68.45,836.82,99.62,8289.97,66.87,825.96,99.63,8122.55,65.26,809.48,99.66,2588.98,46.16,370.44,143.08,605.09,8.5,370.44,612.21,74.33,0.33,370.44,4983.57,51.2,0.0,370.44,7234.94,51.2,0.0,370.44,7235.56,51.2,0.0,370.44,7235.69,51.19,0.0,370.44,7236.13,51.19,0.0,370.44,7236.64,51.18,0.0,370.44,7237.76,51.17,0.0,370.44,7239.06,51.16,0.0,370.44,7240.61,51.07,0.0,370.44,7253.01,51.1,0.0,370.44,7249.51,50.93,0.0,370.44,7273.17,50.38,0.0,370.44,7353.64
5,49473.17,100.0,0,0.0,0,10534.9,212.94,5116.17,38.87,238.24,46.57,5124.66,39.04,238.24,46.49,4661.78,37.25,238.24,51.1,2650.95,27.4,238.24,89.87,1845.45,23.31,238.24,129.1,1479.65,20.5,238.24,161.01,1299.88,19.28,238.24,183.28,1218.33,18.25,238.24,195.55,8817.25,72.02,943.18,106.97,8718.21,70.54,932.71,106.98,8585.71,69.19,918.69,107.0,3398.85,55.02,388.96,114.44,1837.78,22.19,388.96,211.65,342.75,3.22,388.96,1134.83,73.64,0.5,388.96,5282.16,60.56,0.23,388.96,6423.22,56.4,0.07,388.96,6895.93,50.69,0.0,388.96,7673.35,50.69,0.0,388.96,7674.08,50.68,0.0,388.96,7675.3,50.66,0.0,388.96,7677.38,50.65,0.0,388.96,7679.56,50.63,0.0,388.96,7682.6,50.57,0.0,388.96,7690.85,50.43,0.0,388.96,7713.12,49.8,0.0,388.96,7810.8
6,49473.17,100.0,0,0.0,0,11112.09,224.61,5122.07,38.89,250.15,48.84,5127.84,38.88,250.15,48.78,4663.06,36.96,250.15,53.65,2654.72,27.37,250.15,94.23,1860.64,23.13,250.15,134.44,1509.1,20.82,250.15,165.76,1325.24,19.32,250.15,188.76,1243.65,18.65,250.15,201.14,8756.51,72.1,1006.51,114.94,8661.91,70.66,995.75,114.96,8545.27,69.43,982.48,114.97,3444.76,55.23,408.41,118.56,1965.3,23.46,408.41,207.81,391.63,3.73,408.41,1042.83,83.98,0.58,408.41,4863.04,64.83,0.25,408.41,6299.94,63.63,0.1,408.41,6418.8,55.0,0.0,408.41,7425.41,54.99,0.0,408.41,7426.7,54.98,0.0,408.41,7427.98,54.97,0.0,408.41,7429.02,54.96,0.0,408.41,7430.55,54.95,0.0,408.41,7432.61,54.89,0.0,408.41,7439.95,54.79,0.0,408.41,7454.33,54.09,0.0,408.41,7551.03
7,49473.17,100.0,0,0.0,0,11723.03,236.96,5124.44,38.9,262.66,51.26,5130.46,38.87,262.66,51.2,4667.66,37.08,262.66,56.27,2675.94,27.6,262.66,98.16,1898.85,23.41,262.66,138.33,1542.68,21.07,262.66,170.26,1362.23,19.6,262.66,192.82,1280.77,18.66,262.66,205.08,8709.14,72.41,1075.7,123.51,8614.33,70.96,1064.11,123.53,8494.73,69.68,1049.49,123.55,3476.58,55.51,428.83,123.35,2070.8,24.58,428.83,207.08,440.38,4.1,428.83,973.77,91.52,0.65,428.83,4685.58,65.69,0.29,428.83,6528.02,65.69,0.15,428.83,6528.2,57.57,0.02,428.83,7448.3,55.88,0.0,428.83,7674.79,55.87,0.0,428.83,7675.53,55.86,0.0,428.83,7677.28,55.79,0.0,428.83,7686.66,55.82,0.0,428.83,7682.31,55.76,0.0,428.83,7690.13,55.63,0.0,428.83,7708.94,54.93,0.0,428.83,7806.67
8,54299.82,100.0,0,0.0,0,12544.98,231.03,5152.52,39.03,275.79,53.53,5154.06,38.92,275.79,53.51,5142.17,38.66,275.79,53.63,3399.34,30.87,275.79,81.13,2486.16,26.31,275.79,110.93,2132.75,24.55,275.79,129.31,1948.64,22.95,275.79,141.53,1841.47,22.01,275.79,149.77,9093.55,76.15,1206.39,132.66,9025.82,75.01,1197.49,132.67,8898.26,73.61,1180.73,132.69,3627.01,57.71,450.27,124.14,3193.64,37.48,450.27,140.99,1689.72,14.98,450.27,266.48,372.13,3.16,450.27,1210.0,123.46,1.07,450.27,3647.04,92.42,0.63,450.27,4872.15,77.9,0.43,450.27,5780.39,76.79,0.32,450.27,5863.79,76.78,0.23,450.27,5864.1,76.73,0.13,450.27,5867.98,67.65,0.03,450.27,6655.93,65.8,0.0,450.27,6842.99,65.73,0.0,450.27,6850.38,65.59,0.0,450.27,6865.03,64.78,0.0,450.27,6950.98
9,54299.82,100.0,0,0.0,0,13238.4,243.8,5158.92,39.02,289.58,56.13,5158.97,38.76,289.58,56.13,5154.55,38.87,289.58,56.18,3416.35,30.98,289.58,84.76,2501.47,26.39,289.58,115.76,2164.9,24.6,289.58,133.76,1973.39,23.17,289.58,146.74,1871.55,22.27,289.58,154.73,9035.09,76.36,1288.11,142.57,8972.31,75.29,1279.24,142.58,8854.24,73.96,1262.56,142.59,3620.34,57.88,472.79,130.59,3250.64,38.29,472.79,145.44,1773.85,15.95,472.79,266.53,420.19,3.66,472.79,1125.16,130.85,1.22,472.79,3613.2,95.59,0.71,472.79,4946.05,77.38,0.47,472.79,6110.15,74.46,0.34,472.79,6349.6,74.65,0.27,472.79,6333.08,74.64,0.15,472.79,6334.0,69.57,0.07,472.79,6795.5,63.71,0.0,472.79,7421.09,63.65,0.0,472.79,7428.05,63.52,0.0,472.79,7442.52,62.82,0.0,472.79,7525.69
10,54299.82,100.0,0,0.0,0,13968.86,257.25,5155.48,38.77,304.06,58.98,5157.41,38.93,304.06,58.96,5153.4,38.6,304.06,59.0,3428.8,31.05,304.06,88.68,2536.54,26.63,304.06,119.87,2206.96,24.65,304.06,137.77,2001.17,23.21,304.06,151.94,1911.3,22.52,304.06,159.09,8987.09,76.62,1376.92,153.21,8908.85,75.45,1365.04,153.22,8796.52,74.17,1347.97,153.24,3611.64,57.89,496.43,137.45,3302.69,39.01,496.43,150.31,1888.14,16.8,496.43,262.92,456.77,3.98,496.43,1086.81,141.67,1.29,496.43,3504.07,101.89,0.76,496.43,4872.28,80.08,0.48,496.43,6199.02,75.8,0.37,496.43,6549.28,75.79,0.3,496.43,6549.72,75.63,0.17,496.43,6564.26,74.75,0.09,496.43,6641.28,65.04,0.0,496.43,7632.63,64.79,0.0,496.43,7661.93,64.62,0.0,496.43,7681.99,64.14,0.0,496.43,7739.38
